message_id,channel,message
1,email,Your prices increasing every week?? What’s going on?
2,in-app,The cook set is good but the lids don’t fit perfectly. Just FYI.
3,in-app,Where’s my order???? It said delivery 2 days ago. This is ridiculous.
4,in-app,That coffee press is amazing but I wish it came in 1.5L too.
5,in-app,Refund me. The blender stopped working after 3 uses.
6,email,Where’s my order?? It said delivery 2 days ago. This is ridiculous.
7,in-app,"Hey, just wondering… is the ‘EarBud Pro’ supposed to buzz while charging? Not sure if mine is defective. Pls respond asap."
8,whatsapp,"I want to change the size of the sneakers I bought yesterday, can u help?"
9,email,Your prices increasing every week?? What’s going on?
10,whatsapp,"Hey, just wondering… is the ‘EarBud Pro’ supposed to buzz while charging? Not sure if mine is defective."
11,whatsapp,"I want to change the size of the sneakers I bought yesterday, can u help? Pls respond asap."
12,whatsapp,"Hey, just wondering… is the ‘EarBud Pro’ supposed to buzz while charging? Not sure if mine is defective."
13,email,That coffee press is amazing but I wish it came in 1.5L too.
14,chat,My t-shirt arrived but the material feels cheap… kinda itchy.
15,in-app,My t-shirt arrived but the material feels cheap… kinda itchy.
16,whatsapp,Could you add more colors of the slim tshirt? Only black is boring (no offense lol).
17,email,"Hey, just wondering… is the ‘EarBud Pro’ supposed to buzz while charging? Not sure if mine is defective."
18,whatsapp,"I want to change the size of the sneakers I bought yesterday, can u help?"
19,whatsapp,My t-shirt arrived but the material feels cheap… kinda itchy.
20,chat,How do I pair the earbuds with Samsung S22? The manual isn’t clear.
21,whatsapp,That coffee press is amazing but I wish it came in 1.5L too.
22,in-app,Your prices increasing every week?? What’s going on?
23,email,My t-shirt arrived but the material feels cheap… kinda itchy. Pls respond asap.
24,in-app,"Hey, just wondering… is the ‘EarBud Pro’ supposed to buzz while charging? Not sure if mine is defective."
25,in-app,Where’s my order?? It said delivery 2 days ago. This is ridiculous.
26,whatsapp,"Hey, just wondering… is the ‘EarBud Pro’ supposed to buzz while charging? Not sure if mine is defective."
27,chat,Where’s my order?? It said delivery 2 days ago. This is ridiculous.
28,email,Could you add more colors of the slim tshirt?? Only black is boring (no offense lol).
29,email,My t-shirt arrived but the material feels cheap… kinda itchy.
30,in-app,How do I pair the earbuds with Samsung S22? The manual isn’t clear.
31,in-app,Where’s my order?? It said delivery 2 days ago. This is ridiculous. Pls respond asap.
32,in-app,Could you add more colors of the slim tshirt? Only black is boring (no offense lol).
33,in-app,My t-shirt arrived but the material feels cheap… kinda itchy.
34,in-app,Could you add more colors of the slim tshirt? Only black is boring (no offense lol).
35,chat,"I want to change the size of the sneakers I bought yesterday, can u help?"
36,in-app,Refund me. The blender stopped working after 3 uses.
37,whatsapp,The cook set is good but the lids don’t fit perfectly. Just FYI.
38,email,Refund me. The blender stopped working after 3 uses.
39,in-app,How do I pair the earbuds with Samsung S22?? The manual isn’t clear.
40,chat,Refund me. The blender stopped working after 3 uses.
41,whatsapp,Refund me. The blender stopped working after 3 uses.
42,whatsapp,The cook set is good but the lids don’t fit perfectly. Just FYI.
43,in-app,Refund me. The blender stopped working after 3 uses.
44,email,My t-shirt arrived but the material feels cheap… kinda itchy.
45,whatsapp,Could you add more colors of the slim tshirt?? Only black is boring (no offense lol).
46,email,Where’s my order?? It said delivery 2 days ago. This is ridiculous.
47,chat,Your prices increasing every week?? What’s going on? Pls respond asap.
48,email,The cook set is good but the lids don’t fit perfectly. Just FYI. Pls respond asap.
49,in-app,How do I pair the earbuds with Samsung S22? The manual isn’t clear.
50,in-app,The cook set is good but the lids don’t fit perfectly. Just FYI.
51,chat,Your prices increasing every week?? What’s going on?
52,chat,"I want to change the size of the sneakers I bought yesterday, can u help?"
53,in-app,"Hey, just wondering… is the ‘EarBud Pro’ supposed to buzz while charging? Not sure if mine is defective."
54,whatsapp,My t-shirt arrived but the material feels cheap… kinda itchy.
55,whatsapp,Could you add more colors of the slim tshirt? Only black is boring (no offense lol).
56,whatsapp,Could you add more colors of the slim tshirt? Only black is boring (no offense lol).
57,in-app,"Hey, just wondering… is the ‘EarBud Pro’ supposed to buzz while charging? Not sure if mine is defective. Pls respond asap."
58,in-app,How do I pair the earbuds with Samsung S22? The manual isn’t clear.
59,whatsapp,Could you add more colors of the slim tshirt? Only black is boring (no offense lol).
60,email,My t-shirt arrived but the material feels cheap… kinda itchy.
61,chat,How do I pair the earbuds with Samsung S22? The manual isn’t clear.
62,whatsapp,"Hey, just wondering… is the ‘EarBud Pro’ supposed to buzz while charging? Not sure if mine is defective."
63,email,The cook set is good but the lids don’t fit perfectly. Just FYI.
64,whatsapp,"I want to change the size of the sneakers I bought yesterday, can u help??"
65,whatsapp,The cook set is good but the lids don’t fit perfectly. Just FYI.
66,in-app,Refund me. The blender stopped working after 3 uses.
67,email,Your prices increasing every week?? What’s going on?
68,whatsapp,How do I pair the earbuds with Samsung S22? The manual isn’t clear.
69,in-app,Could you add more colors of the slim tshirt? Only black is boring (no offense lol). Pls respond asap.
70,chat,My t-shirt arrived but the material feels cheap… kinda itchy.
71,email,That coffee press is amazing but I wish it came in 1.5L too.
72,whatsapp,My t-shirt arrived but the material feels cheap… kinda itchy.
73,whatsapp,My t-shirt arrived but the material feels cheap… kinda itchy.
74,chat,"Hey, just wondering… is the ‘EarBud Pro’ supposed to buzz while charging? Not sure if mine is defective. Pls respond asap."
75,in-app,My t-shirt arrived but the material feels cheap… kinda itchy.
76,whatsapp,Could you add more colors of the slim tshirt?? Only black is boring (no offense lol). Pls respond asap.
77,in-app,"I want to change the size of the sneakers I bought yesterday, can u help??"
78,chat,Where’s my order???? It said delivery 2 days ago. This is ridiculous.
79,chat,Could you add more colors of the slim tshirt?? Only black is boring (no offense lol).
80,email,"I want to change the size of the sneakers I bought yesterday, can u help??"
81,in-app,"I want to change the size of the sneakers I bought yesterday, can u help? Pls respond asap."
82,chat,Could you add more colors of the slim tshirt? Only black is boring (no offense lol).
83,in-app,"Hey, just wondering… is the ‘EarBud Pro’ supposed to buzz while charging? Not sure if mine is defective."
84,in-app,How do I pair the earbuds with Samsung S22? The manual isn’t clear.
85,email,That coffee press is amazing but I wish it came in 1.5L too.
86,whatsapp,Where’s my order?? It said delivery 2 days ago. This is ridiculous.
87,whatsapp,The cook set is good but the lids don’t fit perfectly. Just FYI.
88,in-app,That coffee press is amazing but I wish it came in 1.5L too. Pls respond asap.
89,email,That coffee press is amazing but I wish it came in 1.5L too. Pls respond asap.
90,chat,My t-shirt arrived but the material feels cheap… kinda itchy.
91,in-app,Where’s my order?? It said delivery 2 days ago. This is ridiculous.
92,in-app,Could you add more colors of the slim tshirt? Only black is boring (no offense lol).
93,whatsapp,Where’s my order?? It said delivery 2 days ago. This is ridiculous.
94,chat,Your prices increasing every week?? What’s going on?
95,chat,"Hey, just wondering… is the ‘EarBud Pro’ supposed to buzz while charging? Not sure if mine is defective."
96,in-app,Refund me. The blender stopped working after 3 uses.
97,email,Refund me. The blender stopped working after 3 uses.
98,chat,The cook set is good but the lids don’t fit perfectly. Just FYI.
99,in-app,The cook set is good but the lids don’t fit perfectly. Just FYI.
100,chat,Could you add more colors of the slim tshirt? Only black is boring (no offense lol).
101,email,Where’s my order?? It said delivery 2 days ago. This is ridiculous.
102,email,"I want to change the size of the sneakers I bought yesterday, can u help?"
103,in-app,"I want to change the size of the sneakers I bought yesterday, can u help??"
104,whatsapp,My t-shirt arrived but the material feels cheap… kinda itchy.
105,whatsapp,Could you add more colors of the slim tshirt? Only black is boring (no offense lol).
106,chat,"Hey, just wondering… is the ‘EarBud Pro’ supposed to buzz while charging? Not sure if mine is defective."
107,chat,Refund me. The blender stopped working after 3 uses.
108,chat,Could you add more colors of the slim tshirt? Only black is boring (no offense lol).
109,email,Refund me. The blender stopped working after 3 uses.
110,in-app,Refund me. The blender stopped working after 3 uses.
111,email,Could you add more colors of the slim tshirt? Only black is boring (no offense lol).
112,whatsapp,Your prices increasing every week?? What’s going on?
113,in-app,How do I pair the earbuds with Samsung S22? The manual isn’t clear.
114,in-app,Could you add more colors of the slim tshirt? Only black is boring (no offense lol).
115,in-app,My t-shirt arrived but the material feels cheap… kinda itchy.
116,whatsapp,"I want to change the size of the sneakers I bought yesterday, can u help? Pls respond asap."
117,email,That coffee press is amazing but I wish it came in 1.5L too. Pls respond asap.
118,whatsapp,How do I pair the earbuds with Samsung S22? The manual isn’t clear.
119,email,How do I pair the earbuds with Samsung S22? The manual isn’t clear.
120,chat,Where’s my order?? It said delivery 2 days ago. This is ridiculous.
121,email,Where’s my order?? It said delivery 2 days ago. This is ridiculous.
122,whatsapp,Could you add more colors of the slim tshirt?? Only black is boring (no offense lol).
123,chat,"I want to change the size of the sneakers I bought yesterday, can u help??"
124,whatsapp,How do I pair the earbuds with Samsung S22? The manual isn’t clear.
125,in-app,Your prices increasing every week?? What’s going on?
126,in-app,Where’s my order?? It said delivery 2 days ago. This is ridiculous.
127,in-app,My t-shirt arrived but the material feels cheap… kinda itchy.
128,email,Where’s my order???? It said delivery 2 days ago. This is ridiculous.
129,in-app,How do I pair the earbuds with Samsung S22? The manual isn’t clear.
130,whatsapp,Refund me. The blender stopped working after 3 uses.
131,email,My t-shirt arrived but the material feels cheap… kinda itchy.
132,email,Could you add more colors of the slim tshirt? Only black is boring (no offense lol).
133,chat,The cook set is good but the lids don’t fit perfectly. Just FYI.
134,whatsapp,How do I pair the earbuds with Samsung S22? The manual isn’t clear.
135,in-app,My t-shirt arrived but the material feels cheap… kinda itchy.
136,in-app,Could you add more colors of the slim tshirt? Only black is boring (no offense lol).
137,chat,My t-shirt arrived but the material feels cheap… kinda itchy.
138,email,Your prices increasing every week?? What’s going on?
139,in-app,The cook set is good but the lids don’t fit perfectly. Just FYI.
140,in-app,That coffee press is amazing but I wish it came in 1.5L too. Pls respond asap.
141,email,"I want to change the size of the sneakers I bought yesterday, can u help??"
142,whatsapp,Refund me. The blender stopped working after 3 uses.
143,email,"Hey, just wondering… is the ‘EarBud Pro’ supposed to buzz while charging? Not sure if mine is defective."
144,whatsapp,Where’s my order?? It said delivery 2 days ago. This is ridiculous.
145,chat,My t-shirt arrived but the material feels cheap… kinda itchy.
146,chat,Your prices increasing every week?? What’s going on?
147,chat,My t-shirt arrived but the material feels cheap… kinda itchy. Pls respond asap.
148,in-app,Refund me. The blender stopped working after 3 uses.
149,email,My t-shirt arrived but the material feels cheap… kinda itchy.
150,whatsapp,That coffee press is amazing but I wish it came in 1.5L too.
151,chat,My t-shirt arrived but the material feels cheap… kinda itchy.
152,email,How do I pair the earbuds with Samsung S22? The manual isn’t clear.
153,chat,Where’s my order?? It said delivery 2 days ago. This is ridiculous.
154,chat,Refund me. The blender stopped working after 3 uses.
155,whatsapp,The cook set is good but the lids don’t fit perfectly. Just FYI. Pls respond asap.
156,email,My t-shirt arrived but the material feels cheap… kinda itchy.
157,email,"Hey, just wondering… is the ‘EarBud Pro’ supposed to buzz while charging? Not sure if mine is defective."
158,in-app,That coffee press is amazing but I wish it came in 1.5L too.
159,whatsapp,Where’s my order?? It said delivery 2 days ago. This is ridiculous.
160,email,My t-shirt arrived but the material feels cheap… kinda itchy.
161,chat,That coffee press is amazing but I wish it came in 1.5L too.
162,chat,Where’s my order?? It said delivery 2 days ago. This is ridiculous.
163,email,"I want to change the size of the sneakers I bought yesterday, can u help?"
164,email,Your prices increasing every week?? What’s going on?
165,in-app,"Hey, just wondering… is the ‘EarBud Pro’ supposed to buzz while charging?? Not sure if mine is defective."
166,whatsapp,Refund me. The blender stopped working after 3 uses.
167,in-app,That coffee press is amazing but I wish it came in 1.5L too.
168,email,My t-shirt arrived but the material feels cheap… kinda itchy.
169,chat,Where’s my order?? It said delivery 2 days ago. This is ridiculous.
170,in-app,Your prices increasing every week?? What’s going on?
171,email,"Hey, just wondering… is the ‘EarBud Pro’ supposed to buzz while charging? Not sure if mine is defective."
172,whatsapp,"Hey, just wondering… is the ‘EarBud Pro’ supposed to buzz while charging? Not sure if mine is defective."
173,chat,"I want to change the size of the sneakers I bought yesterday, can u help? Pls respond asap."
174,email,Your prices increasing every week?? What’s going on?
175,chat,How do I pair the earbuds with Samsung S22?? The manual isn’t clear.
176,email,How do I pair the earbuds with Samsung S22? The manual isn’t clear.
177,in-app,That coffee press is amazing but I wish it came in 1.5L too.
178,chat,Refund me. The blender stopped working after 3 uses.
179,in-app,Your prices increasing every week?? What’s going on?
180,email,How do I pair the earbuds with Samsung S22? The manual isn’t clear.
181,chat,My t-shirt arrived but the material feels cheap… kinda itchy.
182,in-app,That coffee press is amazing but I wish it came in 1.5L too.
183,in-app,My t-shirt arrived but the material feels cheap… kinda itchy.
184,in-app,Where’s my order?? It said delivery 2 days ago. This is ridiculous.
185,in-app,My t-shirt arrived but the material feels cheap… kinda itchy.
186,chat,Where’s my order?? It said delivery 2 days ago. This is ridiculous.
187,in-app,My t-shirt arrived but the material feels cheap… kinda itchy.
188,chat,Your prices increasing every week?? What’s going on? Pls respond asap.
189,in-app,My t-shirt arrived but the material feels cheap… kinda itchy.
190,in-app,Where’s my order???? It said delivery 2 days ago. This is ridiculous.
191,whatsapp,"I want to change the size of the sneakers I bought yesterday, can u help? Pls respond asap."
192,email,Refund me. The blender stopped working after 3 uses.
193,whatsapp,Your prices increasing every week?? What’s going on?
194,in-app,Your prices increasing every week?? What’s going on?
195,chat,Where’s my order???? It said delivery 2 days ago. This is ridiculous. Pls respond asap.
196,whatsapp,Where’s my order?? It said delivery 2 days ago. This is ridiculous.
197,email,How do I pair the earbuds with Samsung S22?? The manual isn’t clear.
198,chat,Refund me. The blender stopped working after 3 uses.
199,email,How do I pair the earbuds with Samsung S22? The manual isn’t clear.
200,email,That coffee press is amazing but I wish it came in 1.5L too.
201,chat,The cook set is good but the lids don’t fit perfectly. Just FYI.
202,in-app,The cook set is good but the lids don’t fit perfectly. Just FYI. Pls respond asap.
203,in-app,Your prices increasing every week???? What’s going on??
204,email,The cook set is good but the lids don’t fit perfectly. Just FYI.
205,in-app,Could you add more colors of the slim tshirt? Only black is boring (no offense lol).
206,chat,Your prices increasing every week?? What’s going on?
207,chat,Where’s my order?? It said delivery 2 days ago. This is ridiculous.
208,in-app,Could you add more colors of the slim tshirt?? Only black is boring (no offense lol).
